,Date,Value
817,2018-03-28,7960.38
818,2018-03-29,7172.28
819,2018-03-30,6882.53166667
820,2018-03-31,6935.48
821,2018-04-01,6794.105
822,2018-04-02,7035.84833333
823,2018-04-03,7410.435
824,2018-04-04,6787.76166667
825,2018-04-05,6826.51
826,2018-04-06,6603.87666667
827,2018-04-07,6927.688
828,2018-04-08,7017.65666667
829,2018-04-09,6699.27333333
830,2018-04-10,6787.57166667
831,2018-04-11,6926.26666667
832,2018-04-12,7847.845
833,2018-04-13,7895.40833333
834,2018-04-14,8036.51105141
835,2018-04-15,8340.74833333
836,2018-04-16,8043.80333333
837,2018-04-17,7895.41692596
838,2018-04-18,8164.93742577
839,2018-04-19,8254.625
840,2018-04-20,8852.71833333
841,2018-04-21,8807.205
842,2018-04-22,8838.54833333
843,2018-04-23,8933.86166667
844,2018-04-24,9555.542
845,2018-04-25,8995.50666667
846,2018-04-26,9258.39833333
847,2018-04-27,9010.32
848,2018-04-28,9326.17333333
849,2018-04-29,9334.28166667
850,2018-04-30,9259.57
851,2018-05-01,9075.13666667
852,2018-05-02,9221.426
853,2018-05-03,9639.26833333
854,2018-05-04,9710.73
855,2018-05-05,9803.30666667
856,2018-05-06,9630.13627668
857,2018-05-07,9345.69
858,2018-05-08,9228.60833333
859,2018-05-09,9322.04166667
860,2018-05-10,9101.48333333
861,2018-05-11,8468.788
862,2018-05-12,8484.34666667
863,2018-05-13,8727.65166667
864,2018-05-14,8652.03833333
865,2018-05-15,8511.458
866,2018-05-16,8340.70333333
867,2018-05-17,8106.11833333
868,2018-05-18,8240.055
869,2018-05-19,8223.28833333
870,2018-05-20,8507.40666667
871,2018-05-21,8385.55618693
872,2018-05-22,8015.58
873,2018-05-23,7555.74
874,2018-05-24,7566.19333333
875,2018-05-25,7445.23833333
876,2018-05-26,7342.90833333
877,2018-05-27,7361.83166667
878,2018-05-28,7130.54166667
879,2018-05-29,7459.87666667
880,2018-05-30,7385.395
881,2018-05-31,7491.434
882,2018-06-01,7535.14666667
883,2018-06-02,7645.14666667
884,2018-06-03,7699.8859999999995
885,2018-06-04,7500.27333333
886,2018-06-05,7615.7221421
887,2018-06-06,7655.61333333
888,2018-06-07,7676.27166667
889,2018-06-08,7620.15333333
890,2018-06-09,7564.40833333
891,2018-06-10,6776.88833333
892,2018-06-11,6875.67833333
893,2018-06-12,6535.08166667
894,2018-06-13,6315.7
895,2018-06-14,6647.01333333
896,2018-06-15,6434.088000000001
897,2018-06-16,6509.42666667
898,2018-06-17,6464.41166667
899,2018-06-18,6713.488
900,2018-06-19,6737.0
901,2018-06-20,6714.71833333
902,2018-06-21,6733.90166667
903,2018-06-22,6332.57333333
904,2018-06-23,6141.60583333
905,2018-06-24,6037.00833333
906,2018-06-25,6211.4475
907,2018-06-26,6218.595
908,2018-06-27,6105.295
909,2018-06-28,6107.89615385
910,2018-06-29,5908.7025
911,2018-06-30,6381.39083333
912,2018-07-01,6374.75416667
913,2018-07-02,6466.06916667
914,2018-07-03,6613.68583333
915,2018-07-04,6593.28916667
916,2018-07-05,6603.37666667
917,2018-07-06,6569.49615385
918,2018-07-07,6594.28166667
919,2018-07-08,6753.55916667
920,2018-07-09,6723.8725
921,2018-07-10,6510.79166667
922,2018-07-11,6377.36333333
923,2018-07-12,6233.595
924,2018-07-13,6244.3575
925,2018-07-14,6241.0
926,2018-07-15,6316.88166667
927,2018-07-16,6514.39083333
928,2018-07-17,6869.91083333
